file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.008317472612193627,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.10612973410425118,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.25023563945750177,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.17447328761039335,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.06355262443018879,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.08789887636029582,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.23907665580559234,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.04239778458667712,10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.041777061456823444,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.02783395354097714,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_115241\ftrick_smooth\Subject_9_Story_1_pred.csv
