file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.005036617430519187,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.08208566973033203,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.021258305361026256,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.15108560716097508,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.3382090999201191,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.20057392454169878,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.27118238502325054,10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.2627915072695984,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.15062079312533275,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.033410368172484495,-10,speech\runs\compare\run_20250918_155108\best_model_20250918_142610\smooth\Subject_9_Story_1_pred.csv
