file,ccc,best_lag_frames,pred_csv
Subject_10_Story_1,-0.003910393068891655,-9,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_10_Story_1_pred.csv
Subject_1_Story_1,0.05584796720677721,10,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_1_Story_1_pred.csv
Subject_2_Story_1,0.01768234667627042,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_2_Story_1_pred.csv
Subject_3_Story_1,0.11146434488294871,10,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_3_Story_1_pred.csv
Subject_4_Story_1,0.1819451068920843,5,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_4_Story_1_pred.csv
Subject_5_Story_1,0.14674320152331344,-10,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_5_Story_1_pred.csv
Subject_6_Story_1,0.17727922705286794,8,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_6_Story_1_pred.csv
Subject_7_Story_1,0.11727810655490427,-7,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_7_Story_1_pred.csv
Subject_8_Story_1,0.0923203420010753,-8,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_8_Story_1_pred.csv
Subject_9_Story_1,0.014294733803975878,-7,speech\runs\compare\run_20250918_153529\best_model_20250918_142610\baseline\Subject_9_Story_1_pred.csv
